3,25
7,84
11,122
15,139
19,432
23,1098
27,334
31,298
35,1371
39,1635
43,2307


3,32
7,89
11,131
15,219
19,211
23,1038
27,158
31,2254
35,2133
39,1679
43,4702



3,43
7,42
11,135
15,248
19,244
23,1079
27,188
31,2150
35,1817
39,759
43,2591

